FirstName,Lastname,Accountname,email,phone
vara,prasad,abc account,prasadmarisatti@gmail.com,9494913612
prasad,vara,abc account,awdhvcd@gmail.com,9494913614
maari,prasad,abc account,jywgd@gmail.com,8889997771
yuva,keratam,abc account,gDCvg@gmail.com,7778889992
hdgvsh,hsgvg,abc account,hsdh@gmail.com,5554442221
jhdsbs,hfgf,abc account,shfvhs@gmail.com,8882223335
hagdj,ufu,abc account,jhwfhw@gmail.com,7776665555
dhvhd,isdfuwie,abc account,diufhvfuh@gmail.com,2223335556
uysgdfygd,mjhsgh,abc account,jsdg@gmail.com,9998885554
shdh,sdfh,abc account,oied@gmail.com,5554446662
shgv,hgvf,abc account,jhbfvhfb@gmail.com,9991113335
wjgeyge,jysdgy,abc account,sdyg@gmail.com,5558881116
hgascdhg,havdgv,abc account,jvhsf@gmail.com,6668889992
